Curso,Disciplina,Horario,Sala,Capacidade Restante
-FUSÃO: CIÊNCIAS SOCIAIS + FILOSOFIA + MATEMÁTICA,GCH838_1,Horario_4_13,MINIAUDITÓRIO-C,5
-FUSÃO: CIÊNCIAS SOCIAIS + FILOSOFIA + MATEMÁTICA,GCH838_1,Horario_4_14,MINIAUDITÓRIO-C,5
-FUSÃO: CIÊNCIAS SOCIAIS + FILOSOFIA + MATEMÁTICA,GCH838_1,Horario_4_15,MINIAUDITÓRIO-C,5
-FUSÃO: CIÊNCIAS SOCIAIS + FILOSOFIA + MATEMÁTICA,GCH838_1,Horario_4_16,MINIAUDITÓRIO-C,5
-FUSÃO: CIÊNCIAS SOCIAIS + HISTÓRIA,GCS238_5,Horario_2_13,201-A,25
-FUSÃO: CIÊNCIAS SOCIAIS + HISTÓRIA,GCS238_5,Horario_2_14,201-A,25
-FUSÃO: CIÊNCIAS SOCIAIS + HISTÓRIA,GCS238_5,Horario_2_15,201-A,25
-FUSÃO: CIÊNCIAS SOCIAIS + HISTÓRIA,GCS238_5,Horario_2_16,201-A,25
-FUSÃO: CIÊNCIAS SOCIAIS + MATEMÁTICA + PEDAGOGIA ,GCH1031_1,Horario_6_13,LAB-HIDRO-C,5
-FUSÃO: CIÊNCIAS SOCIAIS + MATEMÁTICA + PEDAGOGIA ,GCH1031_1,Horario_6_14,LAB-HIDRO-C,5
-FUSÃO: CIÊNCIAS SOCIAIS + MATEMÁTICA + PEDAGOGIA ,GCH1031_1,Horario_6_15,LAB-HIDRO-C,5
-FUSÃO: CIÊNCIAS SOCIAIS + MATEMÁTICA + PEDAGOGIA ,GCH1031_1,Horario_6_16,LAB-HIDRO-C,5
-FUSÃO: ENGENHARIA AMBIENTAL E SANITÁRIA + PEDAGOGIA,GCH291_1,Horario_2_1,201-A,25
-FUSÃO: ENGENHARIA AMBIENTAL E SANITÁRIA + PEDAGOGIA,GCH291_1,Horario_2_2,201-A,25
-FUSÃO: ENGENHARIA AMBIENTAL E SANITÁRIA + PEDAGOGIA,GCH291_1,Horario_2_3,201-A,25
-FUSÃO: ENGENHARIA AMBIENTAL E SANITÁRIA + PEDAGOGIA,GCH291_1,Horario_2_4,201-A,25
-FUSÃO: FILOSOFIA + LETRAS,GCH833_1,Horario_3_13,201-A,25
-FUSÃO: FILOSOFIA + LETRAS,GCH833_1,Horario_3_14,201-A,25
-FUSÃO: FILOSOFIA + LETRAS,GCH833_1,Horario_3_15,201-A,25
-FUSÃO: FILOSOFIA + LETRAS,GCH833_1,Horario_3_16,201-A,25
-FUSÃO: FILOSOFIA + MATEMÁTICA,GCH840_1,Horario_5_13,201-A,25
-FUSÃO: FILOSOFIA + MATEMÁTICA,GCH840_1,Horario_5_14,201-A,25
-FUSÃO: FILOSOFIA + MATEMÁTICA,GCH840_1,Horario_5_15,201-A,25
-FUSÃO: FILOSOFIA + MATEMÁTICA,GCH840_1,Horario_5_16,201-A,25
-FUSÃO: GEOGRAFIA + HISTÓRIA,GCH374_1,Horario_4_13,312-C,25
-FUSÃO: GEOGRAFIA + HISTÓRIA,GCH374_1,Horario_4_14,312-C,25
-FUSÃO: GEOGRAFIA + HISTÓRIA,GCH374_1,Horario_4_15,312-C,25
-FUSÃO: GEOGRAFIA + HISTÓRIA,GCH374_1,Horario_4_16,312-C,25
-FUSÃO: GEOGRAFIA + HISTÓRIA,GCH383_1,Horario_6_13,MINIAUDITÓRIO-C,5
-FUSÃO: GEOGRAFIA + HISTÓRIA,GCH383_1,Horario_6_14,MINIAUDITÓRIO-C,5
-FUSÃO: GEOGRAFIA + HISTÓRIA,GCH383_1,Horario_6_15,MINIAUDITÓRIO-C,5
-FUSÃO: GEOGRAFIA + HISTÓRIA,GCH383_1,Horario_6_16,MINIAUDITÓRIO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_7_1,LAB-HIDRO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_7_2,LAB-HIDRO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_7_3,LAB-HIDRO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_7_4,LAB-HIDRO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_7_5,LAB-HIDRO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_3_13,LAB-HIDRO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_3_14,LAB-HIDRO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_3_15,LAB-HIDRO-C,5
-FUSÃO: MATEMÁTICA + PEDAGOGIA,GCH837_2,Horario_3_16,LAB-HIDRO-C,5
ADMINISTRAÇÃO,GCH087_1,Horario_3_13,209-B,25
ADMINISTRAÇÃO,GCH087_1,Horario_3_14,209-B,25
ADMINISTRAÇÃO,GCH087_1,Horario_3_15,209-B,25
ADMINISTRAÇÃO,GCH087_1,Horario_3_16,209-B,25
