,SEG-M,TER-M,QUA-M,QUI-M,SEX-M,SAB-M,SEG-V,TER-V,QUA-V,QUI-V,SEX-V,SAB-V,SEG-N,TER-N,QUA-N,QUI-N,SEX-N,SAB-N,Não Alocadas (12)
201-A,EAS - 8 | EAS - opt,EAS - 8,EAS - 8,EAS - 8,EAS - 8,-,EAS - 10 | EAS - opt,EAS - 6 | EAS - opt,EAS - 6,EAS - 8 | EAS - 10,EAS - 10,-,LETRAS - PIN - opt,ADM - 3,EAS - 10,EAS - 8,EAS - 10,-,GEX635_1
202-A,-,ENF - 2,-,ENF - 2,AGRO - opt,-,ENF - 2,-,-,ENF - 2,-,-,MAT - 6,PED - 9,MAT - 6,MAT - 6,-FUSÃO: GEOGRAFIA + HISTÓRIA - 6,-,GCH1420_1
203-A,AGRO - 4,-,-,AGRO - 4,-,-,MAT - 8,AGRO - 4,AGRO - 4,-,-,-,MAT - 8,MAT - 8,MAT - 8,-FUSÃO: FILOSOFIA + MATEMÁTICA - 4,MAT - 8,-,GCH622_1
204-A,-,MED - 3,-,AGRO - 2,AGRO - 2,-,MED - 3,AGRO - 2 | MED - 3,MED - 3,-,-,-,MAT - 2,MAT - 2,MAT - 2,MAT - opt,MAT - 2,-,GCH371_1
205-A,-,-,PED - 4,PED - 4,PED - 4,-,AGRO - 4 | CC - 4,ENF - 4,ENF - 4,ENF - 4,CC - 4,-,MAT - 4,MAT - 4,CC - 4,MAT - 4,MAT - 4,-,GLA367_1
206-A,EAS - 4,EAS - 4,EAS - 4,EAS - 4,EAS - 4,-,EAS - 4,EAS - 4,LET - opt,-,-,-,LET - 2,LET - 2,LET - 2,LET - opt,LET - 2,-,GCH293_4
207-A,ADM - 6,ADM - 6,ADM - 6,ADM - 6,ADM - 6,-,-,LET - 10,LET - 10,-,-,-,LET - 10,ADM - 9,LET - 10,LET - 10,LET - 10,-,GEX994_1
208-A,ADM - 8,ADM - 8,ADM - 8,ADM - 8,ADM - 8,LET - 2,EAS - 2 | LET - 6,EAS - 2,EAS - 2,EAS - 2,EAS - 2,-,LET - 6,LET - 2,LET - 2,LET - 2,LET - 6,-,GSA268_1
209-A,ADM - 4,ADM - 4,ADM - 4,ADM - 4,ADM - 4,ADM - 3,-,LET - 9,ADM - 9,ADM - 9,-,-,ADM - 9,ADM - 3,ADM - 9,ADM - 3,ADM - 9,-,GSA281_1
210-A,ADM - 2,ADM - 2,ADM - 2,ADM - 2,ADM - 2,LET - opt,LET - opt,LET - opt,LET - opt,LET - opt,LET - opt,-,LET - 8,LET - 8,LET - opt,LET - 8,LET - 8,-,GSA284_1
301-A,AGRO - 8 | AGRO - 3,AGRO - 8,AGRO - 6,AGRO - 6,AGRO - opt,AGRO - 10,AGRO - 3 | MED - opt,AGRO - 10,AGRO - 6,MED - 7,AGRO - 9 | AGRO - 7,AGRO - 10,MED - opt,AGRO - 7,MED - opt,MED - 7,AGRO - 9,AGRO - 10,GSA287_1
302-A,-,EAS - 6,PED - opt,EAS - 6,-,-,EAS - 6,EAS - 6,-,EAS - 6,EAS - 6,-,EAS - 6,HIS - 7,PED - opt,PED - opt,PED - 3,-,GCH1279_1
303-A,AGRO - 2,-,AGRO - 2,AGRO - 2,AGRO - 2,-,-,AGRO - 2,-,AGRO - 1,AGRO - 2,-,CS - 4,CS - 4,CS - opt,CS - 4,CS - 4,-,-
304-A,AGRO - 6,AGRO - 6,AGRO - 4,-,AGRO - 4,-,AGRO - 6,AGRO - 6,-,-,-,-,CS - 6,CS - 6,CS - 6,CS - 6,CS - 6,-,-
