,SEG-M,TER-M,QUA-M,QUI-M,SEX-M,SAB-M,SEG-V,TER-V,QUA-V,QUI-V,SEX-V,SAB-V,SEG-N,TER-N,QUA-N,QUI-N,SEX-N,SAB-N,Não Alocadas (17)
201-A,EAS - 4,EAS - 4 | EAS - 6,EAS - 4,EAS - 6 | EAS - 4,EAS - 4,GEO - 4,EAS - 6,EAS - 6,EAS - 6,EAS - 6,EAS - 6,-,EAS - 6,GEO - 4,-FUSÃO: GEOGRAFIA + HISTÓRIA - 4,-FUSÃO: FILOSOFIA + MATEMÁTICA - 4,-FUSÃO: CIÊNCIAS SOCIAIS + MATEMÁTICA + PEDAGOGIA  - 8,-,GCS238_5
202-A,-,EAS - 8,-,AGRO - 6,EAS - 8,-,MAT - 8,AGRO - 8,AGRO - 8,AGRO - 6,-,-,MAT - 8,MAT - 8,MAT - 8,MAT - 6,MAT - 8,-,GCS551_1
203-A,PED - 4,-,AGRO - 6,AGRO - 4,AGRO - 4,-,-,-,AGRO - 6,AGRO - 4,-,-,MAT - 6,-FUSÃO: MATEMÁTICA + PEDAGOGIA - 6,MAT - 6,MAT - 4,GEO - 4,-,GCH290_5
204-A,EAS - 8,-,AGRO - 2,AGRO - 8,AGRO - 2,-,EAS - 2,AGRO - 4,EAS - 2,FIL - 2,-,-,MAT - 2,MAT - 2,MAT - 2,FIL - 2,MAT - 2,-,GCH1325_1
205-A,ADM - 4,-,PED - 4,AGRO - 2,AGRO - opt,-,AGRO - 4,AGRO - 2 | EAS - 2,-,EAS - 2,-,-,MAT - 4,MAT - 4,HIS - opt,MAT - opt,MAT - 4,-,GCH1460_1
206-A,-,-,-,-,-,-,-,LET - 10,LET - 10,-,-,-,ADM - 1,AGRO - 7,LET - 10,LET - 10,LET - 10,-,GEN119_1
207-A,ADM - 6,ADM - 4,ADM - 4,ADM - 4,ADM - 4,ADM - 3,AGRO - 3,-,-,-,-,-,ADM - 3,ADM - 3,LET - 4,ADM - 3,ADM - 3,-,GEX067_1
208-A,AGRO - 6,ADM - 6,ADM - opt,ADM - 6,ADM - 6,-,FIL - 9,LET - 9,ADM - 9,ADM - 9,-,-,ADM - 9,ADM - 9,LET - 2,LET - opt,ADM - 9,-,GCH623_1
209-A,ADM - 8,ADM - 8,ADM - 8,ADM - 8,ADM - 8,LET - opt,LET - opt,LET - opt,LET - opt,LET - opt,LET - opt,-,LET - 8,ADM - opt,CC - 1,ADM - opt,LET - 8,-,GCH459_1
210-A,ADM - 2,ADM - 2,ADM - 6,ADM - 2,ADM - 2,LET - 2,LET - 6,EAS - opt,LET - opt,ENF - 2,-,-,LET - 6,LET - 2,LET - 2,LET - 4,LET - 2,-,GLA365_1
301-A,AGRO - 4,AGRO - opt,AGRO - 4,MED - 5,AGRO - opt,AGRO - 10,AGRO - 4 | MED - opt,AGRO - 10,AGRO - 4,MED - 5,MED - 5,AGRO - 10,MED - opt,-FUSÃO: FILOSOFIA + LETRAS - 4,MED - opt,MED - 5,ADM - 5,AGRO - 10,GLA388_1
