,SEG-M,TER-M,QUA-M,QUI-M,SEX-M,SAB-M,SEG-V,TER-V,QUA-V,QUI-V,SEX-V,SAB-V,SEG-N,TER-N,QUA-N,QUI-N,SEX-N,SAB-N,Não Alocadas (13)
201-A,EAS - 4,EAS - 4 | EAS - 6,EAS - 4,EAS - 4 | EAS - 8,EAS - 4,-,EAS - 10 | EAS - opt,EAS - 6 | EAS - opt,EAS - 6,EAS - 8 | EAS - 10,EAS - 10,-,LETRAS - PIN - opt,ADM - 7,EAS - 10,EAS - 8,EAS - 10,-,GCS530_1
202-A,-,-,AGRO - 4,-,AGRO - 2,-,-,AGRO - 6,-,-,-,-,MAT - 8,MAT - 2,MAT - 2,PED - 7,MAT - 4,-,GCS536_1
203-A,AGRO - 8,-,-,-,-,-,MAT - 8,-,-,-,-,-,MAT - 8,MAT - 8,MAT - 6,MAT - 6,MAT - 2,-,GCS550_1
204-A,-,-,-,-,-,-,-,-,-,-,-,-,MAT - 4,MAT - 4,MAT - 8,MAT - 4,MAT - 8,-,GEX213_1
205-A,-,-,-,AGRO - 2,-,-,-,AGRO - 2,-,ENF - 4,-,-,MAT - 6,CS - 6,CS - opt,MAT - opt,PED - 3,-,GCH1402_1
206-A,-,EAS - 4,-,-,-,LET - 2,LET - 6,LET - 10,-,-,-,-,LET - 6,LET - 2,LET - 2,LET - 2,LET - 4,-,GSA190_1
207-A,ADM - 4,ADM - 6,ADM - opt,ADM - 2,ADM - 8,-,-,LET - 9,ADM - 9,ADM - 9,-,-,ADM - 5,LET - 2,LET - 8,LET - 6,ADM - 5,-,GSA268_1
208-A,ADM - 6,ADM - 2,ADM - 2,ADM - 6,ADM - 4,ADM - 3,LET - opt,LET - opt,LET - opt,LET - opt,LET - opt,-,LET - 6,ADM - 3,LET - 4,ADM - 3,ADM - 9,-,GSA281_1
209-A,ADM - 8,ADM - 4,ADM - 8,ADM - 8,ADM - 6,-,-,AGRO - 8,LET - 10,-,-,-,ADM - 7,LET - 6,LET - 10,LET - 10,ADM - 3,-,GSA283_1
210-A,ADM - 2,ADM - 8,ADM - 4,ADM - 4,ADM - 2,LET - 6,-,-,LET - opt,-,-,LET - 6,ADM - 1,LET - 8,LET - 6,ADM - 7,LET - 6,-,GSA284_1
301-A,AGRO - 2 | AGRO - 3,AGRO - 8,AGRO - 6,AGRO - 6,AGRO - opt,AGRO - 10,MED - 1 | MED - 9,AGRO - 10,AGRO - 8,MED - 7,AGRO - 9 | AGRO - 7,AGRO - 10,MED - 9,AGRO - 7,MED - opt,MED - 7,AGRO - 9,AGRO - 10,GSA287_1
302-A,-,ENF - 2,AGRO - 8,-,-,-,-,AGRO - 6,ENF - 4,AGRO - 8,AGRO - 2,-,CC - opt,-FUSÃO: FILOSOFIA + LETRAS - 4,PED - 1,LETRAS - PIN - opt,-FUSÃO: GEOGRAFIA + HISTÓRIA - 6,-,GCH1035_1
303-A,-,-,ADM - 6,EAS - 4,-,CS - 8,-,CS - 8,-,-,-,CS - 9,CS - 2,CS - 8,CS - opt,CS - 8,CS - 2,CS - 9,GCH1110_1
304-A,-,-,-,-,-,-,-,-,-,-,-,-,CS - 2,CS - 4,CS - 2,CS - 2,CS - 6,-,-
305-A,-,-,-,-,AGRO - opt,-,CC - 8,-,LETRAS - PROIMIGRANTE - opt,AGRO - 4,-,-,CS - 4,CS - 2,CS - 6,CS - 4,CS - 4,-,-
306-A,ENF - 8,ENF - 10,ENF - 2,ENF - 8,-,HIS - 6,ENF - 4,ENF - 8,ENF - 8,ENF - 4,ENF - 8,-,HIS - 2,HIS - 7,HIS - opt,HIS - 6,HIS - 8,-,-
307-A,ENF - 4,ENF - 4,ENF - 4,ENF - 4,-,-,ENF - 10,ENF - 10,ENF - 10,ENF - 10,ENF - 10,-,HIS - 8,HIS - 4,HIS - opt,HIS - 4,HIS - 4,-,-
308-A,HIS - 6,ENF - 8,ENF - 8,HIS - 8,-,-,ENF - 8,ENF - 2,ENF - 2,ENF - 8,ENF - 4,-,HIS - 6,HIS - 2,HIS - 2,HIS - 8,HIS - 2,-,-
309-A,ENF - 6,ENF - 6,ENF - 6,ENF - 6,-,LET - opt,ENF - 6,ENF - 6,ENF - 6,ENF - 6,ENF - 6,-,LET - 10,LET - 8,LET - opt,LET - 4,LET - 2,-,-
407-A,AGRO - 4,-,-,-,PED - 8,-,-,-,-,-,-,-,LET - 2,ADM - 1,CC - 4,CC - 3,-,-,-
