,,MATUTINO,-,-,-,-,-,VESPERTINO,-,-,-,-,-,NOTURNO,-,-,-,-,-
,,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB
Não Alocadas (0),Salas,,,,,,,,,,,,,,,,,,
-,201-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,202-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,203-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,204-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,205-A,-,-,-,-,-,-,-,-,-,-,-,-,ADM - 3 (GCS530_1),ADM - 3 (GCS528_1),ADM - 3 (GEX210_3),-,ADM - 3 (GCS531_1),-
-,206-A,-,-,ADM - opt (GCS556_1),-,-,-,-,-,-,-,-,-,-,ADM - opt (GCS566_1),-,ADM - opt (GCS554_1),-,-
-,207-A,ADM - 6 (GCS072_1),ADM - 6 (GCS541_1),ADM - 6 (GCS543_1),ADM - 6 (GCS081_1),ADM - 6 (GCS542_1),-,-,-,-,-,-,-,ADM - 5 (GCS538_1),ADM - 5 (GCS540_1),ADM - 5 (GCS536_1),ADM - 5 (GCS537_1),ADM - 5 (GCS539_1),-
-,208-A,ADM - 4 (GCS532_1),ADM - 4 (GCS535_1),ADM - 4 (GCS533_1),ADM - 4 (GCS066_1),ADM - 4 (GCS068_1),ADM - 3 (GCS529_1),-,-,ADM - 9 (GCS552_1),ADM - 9 (GCS552_1),-,-,ADM - 9 (GCS550_1),ADM - 9 (GCS549_1),ADM - 9 (GCS551_1),ADM - 3 (GCS529_1),ADM - 9 (GCS573_1),-
-,209-A,ADM - 8 (GCS235_1),ADM - 8 (GCS546_1),ADM - 8 (GCS548_1),ADM - 8 (GCS082_1),ADM - 8 (GCS547_1),-,-,-,-,-,-,-,ADM - 1 (GEX212_4),ADM - 1 (GCH290_11),ADM - 1 (GCS534_1),ADM - 1 (GLA104_3),ADM - 1 (GCS525_1),-
-,210-A,ADM - 2 (GCH293_3),ADM - 2 (GCS527_1),ADM - 2 (GEX094_1),ADM - 2 (GCS526_1),ADM - 2 (GCS238_9),-,-,-,-,-,-,-,ADM - 7 (GCS080_1),ADM - 7 (GCS077_1),ADM - 7 (GCS544_1),ADM - 7 (GCS545_1),ADM - 7 (GCS239_3),-
-,301-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,302-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,303-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,304-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,305-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,306-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,307-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,308-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,309-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
