,,MATUTINO,-,-,-,-,-,VESPERTINO,-,-,-,-,-,NOTURNO,-,-,-,-,-
,,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB
Não Alocadas (0),Salas,,,,,,,,,,,,,,,,,,
-,201-A,MED - 1 (GSA140_1) | MED - 1 (GSA271_1),MED - 1 (GSA271_1),MED - 1 (GSA140_1),MED - 1 (GCH290_13),MED - 1 (GSA271_1),-,MED - 9 (GSA296_1),MED - 1 (GSA142_1),MED - 1 (GSA271_1),MED - 1 (GSA142_1),MED - 1 (GSA143_1) | MED - 1 (GSA268_1),-,MED - 9 (GSA296_1),-,-,-,-,-
-,202-A,MED - 3 (GSA168_1),MED - 3 (GSA280_1),MED - 3 (GSA171_1),MED - 3 (GSA168_1),-,-,MED - 3 (GSA280_1),MED - 3 (GSA167_1) | MED - 3 (GSA280_1),MED - 3 (GSA169_1),MED - 3 (GSA167_1),-,-,-,-,-,MED - 3 (GSA281_1),-,-
-,203-A,MED - 7 (GSA213_1),MED - 7 (GSA214_1),MED - 7 (GSA287_1),MED - 7 (GCS239_11),MED - 7 (GSA186_1),-,MED - 7 (GSA217_1),MED - 7 (GSA214_1),-,MED - 7 (GSA216_1),-,-,-,MED - 7 (GSA213_1),-,MED - 7 (GSA216_1),-,-
-,204-A,MED - 5 (GSA193_1),MED - 5 (GSA191_1),-,MED - 5 (GSA189_1),MED - 5 (GSA192_1),-,MED - 5 (GSA188_1) | MED - 5 (GSA193_1),MED - 5 (GSA191_1) | MED - 5 (GSA284_1),MED - 5 (GSA188_1),ENF - 4 (GCB029_1),MED - 5 (GSA189_1),-,-,-,MED - 5 (GSA192_1),-,-,-
-,205-A,-,ENF - 4 (GSA017_1),ENF - 4 (GSA017_1),ENF - 4 (GSA017_1),-,-,ENF - 4 (GCH012_2),ENF - 4 (GSA014_1),ENF - 4 (GSA012_1),ENF - 4 (GCB076_1),ENF - 4 (GCB019_2),-,-,-,-,-,-,-
-,206-A,ENF - 8 (GSA024_1),ENF - 8 (GSA011_1),ENF - 8 (GSA011_1),ENF - 8 (GSA024_1),-,-,ENF - 8 (GSA025_1),ENF - 8 (GSA024_1),ENF - 8 (GSA023_1),ENF - 8 (GSA011_1),ENF - 8 (GSA023_1),-,-,-,-,-,-,-
-,207-A,-,ENF - 2 (GEX212_1),-,-,-,-,ENF - 2 (GCB064_1),ENF - 2 (GSA0303_1),ENF - 2 (GSA0303_1),ENF - 2 (GCB019_1),-,-,-,-,-,-,-,-
-,208-A,ENF - 6 (GSA021_1),ENF - 6 (GSA021_1),ENF - 6 (GSA021_1),ENF - 6 (GSA021_1),-,-,ENF - 6 (GSA021_1),ENF - 6 (GSA044_1),ENF - 6 (GSA021_1),ENF - 6 (GSA044_1),ENF - 6 (GSA021_1),-,-,-,-,-,-,-
-,209-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,210-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
