SALAS,MATUTINO,,,,,,VESPERTINO,,,,,,NOTURNO,,,,,,SÁBADO,CADEIRAS
,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,,
BLOCO A,,,,,,,,,,,,,,,,,,,,
201 – 2 quadros,EAS – 1ª,EAS – 1ª,EAS – 1ª,EAS – 1ª,EAS – 1ª,,EAS – 1ª,EAS – 1ª,EAS – 1ª,EAS – 1ª,EAS – 1ª,,MAT – 1ª,MAT – 1ª,FIL – 5ª,LET – 1ª,FIL – 5ª,,,50
202 – 2 quadros,EAS – 3ª,EAS – 3ª,EAS – 3ª,EAS – 3ª,EAS – 3ª,,,EAS – 3ª,EAS – 3ª,,,,PIN,MAT – 3ª,MAT – 3ª,MAT – 3ª,MAT – 3ª + CS – 3ª,,,50
203 – 2 quadros,EAS – 5ª,EAS – 5ª,EAS – 5ª,EAS – 5ª,EAS – 5ª,,EAS – 5ª,EAS – 5ª,EAS – 5ª,EAS – 5ª,,,MAT – 5ª,MAT – 5ª,MAT – 5ª + CS – 7ª,MAT – 5ª,MAT – 5ª,,,50
204 – 2 quadros,,EAS – 7ª,EAS – 7ª | EAS – 9ª,EAS – 7ª,EAS – 7ª,,EAS – 7ª,EAS – 7ª,EAS – 7ª,EAS – 7ª,FIL – 9ª,,MAT – 7ª,PIN,AGRO – 3ª,MAT – 7ª,MAT – 7ª,,MAT – 7ª,50
205 – 2 quadros,EAS – 9ª,EAS – 9ª,EAS – 9ª,EAS – 9ª,EAS – 9ª,,EAS – 10ª,EAS – 9ª +  10ª,EAS – 10ª,EAS – 8ª,EAS – 9ª +  10ª,,MAT – 9ª,MAT – 9ª,MAT – 9ª,FIL – 5ª + MAT – 9ª,MAT – 9ª,,,50
206 – 2 quadros,,,,,,,LET – TF,LET – TF,LET – TF,LET – TF,LET – TF,,CS – TF,LET – 9ª,LET – 9ª,LET – 9ª,CS – 9ª + LET – 9ª,,,50
207 – 2 quadros,,,,,,,,,,,,,MED – 4ª |  LET – 7ª,LET – 7ª,LET – 7ª,LET – 7ª,LET – 7ª,,,50
208 – 2 quadros,,,,,,,,,,,,,LET – 5ª,LET – 5ª,LET – 5ª,LET – 5ª,LET – 5ª,,,50
209 – 2 quadros,,,,,,,,,,,,,LET – 3ª,LET – 3ª,LET – 3ª,LET – 3ª,LET – 3ª,,,50
210,,,,,,,,,,,,,CS – 5ª,CS – 5ª,CS – 5ª,CS – 5ª,CS – 5ª,,,50
301,ENF – 9ª,ENF – 9ª,ENF – 9ª,ENF – 9ª,ENF – 9ª,,ENF – 9ª,ENF – 9ª,ENF – 9ª,ENF – 9ª,ENF – 9ª,,FIL – 3ª,FIL – 1ª |  ADM – 8ª,,FIL – 3ª,FIL – 3ª,,,50
302,,,,,,,,,,,,,CS – 3ª,CS – 3ª,CS – 3ª,CS – 3ª,,,,50
303,MED – 6ª,MED – 6ª,MED – 6ª,MED – 6ª,MED – 6ª,,MED – 6ª,MED – 6ª,MED – 6ª,MED – 6ª,MED – 6ª,,CS – 7ª,CS – 7ª,,CS – 7ª,CS – 7ª,,MED – 6ª,50
304,MED – 8ª,MED – 8ª,MED – 8ª,MED – 8ª,MED – 8ª,,MED – 8ª,MED – 8ª,MED – 8ª,MED – 8ª,MED – 8ª,,FIL – 7ª,FIL – 7ª,FIL – 7ª,ENF – TF + AGRO – TF,,,,50
305,ENF – 7ª,ENF – 7ª,ENF – 7ª,ENF – 7ª,,,ENF – 7ª,ENF – 7ª,ENF – 7ª,ENF – 7ª,ENF – 7ª,,HIS – 7ª,HIS – 7ª,HIS – 7ª,HIS – 7ª,,,HIS – 7ª,50
306 (100)  – 2 quadros,,AGRO – 1ª + 3ª,,,,,,,,EAS – 3ª + CC – 3ª,,,MAT – 3ª & CC – 4ª,ADM – 2ª,GEO – 7ª & MAT – 7ª,ADM – 2ª,,,,100
307,ENF – 5ª,ENF – 5ª,ENF – 5ª,ENF – 5ª,,,ENF – 5ª,ENF – 5ª,ENF – 5ª,ENF – 5ª,ENF – 5ª,,HIS – 5ª,HIS – 5ª,HIS – 5ª,HIS – 5ª,HIS – 5ª,,,50
308,ENF – 3ª,ENF – 3ª,ENF – 3ª,ENF – 3ª,,,ENF – 3ª,ENF – 3ª,ENF – 3ª,ENF – 3ª,ENF – 3ª,,HIS – 3ª,HIS – 3ª,HIS – 3ª,HIS – 3ª,HIS – 3ª,,,50
309,ENF – 1ª,ENF – 1ª,ENF – 1ª,ENF – 1ª,,,ENF – 1ª,ENF – 1ª,ENF – 1ª,ENF – 1ª,ENF – 1ª,,CS – 1ª,PROHAITI,CS – 9ª,CS – 9ª,HIS – 1ª,,,50
407 (Lab Info II),,ADM – 3ª,,,EAS  – 5ª,,,,AGRO – 3ª,MED – 2ª,,,,,,PED – 4ª,,,,26
408 (Lab Info I),,,PED – 9ª,ADM – 1ª,AGRO – 1ª,,,,EAS – 5ª | AGRO – 1ª,EAS – 5ª,AGRO – 3ª,,MAT – 5ª,FIL – 3ª,GEO – 1ª,PIN,,,,26
BLOCO B,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,PED – 2ª,PED – 2ª,PED – 2ª,CS – TF,PED – 2ª,,,50
202,PED – 3ª,PED – 3ª,PED – 3ª,PED – 3ª,PED – 3ª,,,,,,,,PED – 4ª,PED – 4ª,PED – 4ª,PED – 4ª,PED – 4ª,,,50
203,PED – 5ª,PED – 5ª,PED – 5ª,PED – 5ª,PED – 5ª,,,,,,,,PED – 6ª,PED – 6ª,PED – 6ª,PED – 6ª,PED – 6ª,,,50
204,PED – 7ª,PED – 7ª,PED – 7ª,PED – 7ª,PED – 7ª,,,,,,,,PED – 8ª,PED – 8ª,PED – 8ª,PED – 8ª,PED – 8ª,,,50
205 – 2 quadros,PED – 9ª,PED – 9ª,PED – 9ª,PED – 9ª,PED – 9ª,,,,,,,,PED – 10ª,PED – 10ª,PED – 10ª,PED – 10ª,PED – 10ª,,PED – 10ª,50
206,ADM – 9ª,ADM – 9ª,ADM – 9ª,ADM – 9ª,ADM – 9ª,,,,,,,,HIS – 9ª,PED – 7ª,HIS – 9ª,HIS – 9ª,PED –9ª,,,50
207 – 2 quadros,ADM – 7ª,ADM – 7ª,ADM – 7ª,ADM – 7ª,ADM – 7ª,,,,,,,,ADM – 6ª,ADM – 6ª,ADM – 6ª,ADM – 6ª,ADM – 6ª,,,50
208,ADM – 5ª,ADM – 5ª,ADM – 5ª,ADM – 5ª,ADM – 5ª,,MED – 4ª,MED – 4ª,MED – 4ª,MED – 4ª,MED – 4ª,,ADM – 8ª,ADM – 8ª,ADM – 8ª,ADM – 8ª,ADM – 8ª,,,50
209 – 2 quadros,ADM – 3ª,ADM – 3ª,ADM – 3ª,ADM – 3ª,ADM – 3ª,,MED – 2ª,MED – 2ª,MED – 2ª,MED – 2ª,MED – 2ª,,ADM – 4ª,ADM – 4ª,ADM – 4ª,ADM – 4ª,ADM – 4ª,,,50
210,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,AGRO – 1ª,,FIL – 9ª,,,,,,,50
301  – 2 quadros,,,,,,,CC – 7ª,CC – 7ª (vesp+not),,CC – 7ª (vesp+not),,,GEO – 1ª,MED – 2ª,MED – 2ª,,GEO – 1ª,,,50
