SALAS,MATUTINO,,,,,,VESPERTINO,,,,,,NOTURNO,,,,,,SÁBADO,CADEIRAS
,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,,
BLOCO A,,,,,,,,,,,,,,,,,,,,
201 – 2 quadros,EAS 2º + PED 2°,,,,,,EAS – 2ª,EAS – 2ª,EAS – 2ª,EAS – 2ª,EAS – 2ª,,,CS – 8°,CS OPT,CS – 8°,CS – 8°+ MAT – 6° + PED – 7°,,CS – 8°,50
202 – 2 quadros,EAS – 4ª,EAS – 4ª,EAS – 4ª,EAS – 4ª,EAS – 4ª,,EAS – 4ª,EAS – 4ª,EAS – 9°,EAS – 9° | EAS – OPT,,,MAT – 8°,ADM OPT,MAT – 8°,MAT OPT,,,MAT OPT,50
203 – 2 quadros,,EAS – 6ª,,EAS – 6ª,,,EAS – 6ª,EAS – 6ª,EAS – 6ª,EAS – 6ª,EAS – 6ª,,MAT – 6°,MAT – 6°,MAT – 6°,PED – 7°,,,MAT – 6°,50
204 – 2 quadros,EAS – OPT | EAS – 8ª,EAS – 8ª,EAS – 8ª,EAS – 8ª,EAS – 8ª,,EAS – OPT,CS – 8°,EAS – OPT,EAS – 8ª,,,,MAT – 4°,MAT – 4° + FIL – 4° + CS – 4°,MAT – 4°,MAT – 4°,,CS – 9°,50
205 – 2 quadros,,,EAS – 10ª,EAS – 10ª,EAS – 10ª,,EAS – 10ª,EAS – OPT,LETRAS PROIMIGRANTE,EAS – 10ª,EAS – 10ª,,MAT – 2°,MAT – 2°,MAT – 2°,MAT – 2° + FIL – 4°,MAT – 2°,,MAT – 2°,50
206 – 2 quadros,,,,,,,LET – 10°,LET – 10°,LET – 10°,,LET – 10°,,LET – 10°,LET – 10°,LET – 10°,LET – 10°,LET – 10°,,,50
207 – 2 quadros,,,,,,,,,,,,,LET – 8°,LET – 8°,LET – 8°,LET – 8°,LET – 8°,,,50
208 – 2 quadros,,,,,,,LET – 6°,,,,,,LET – 6°,LET – 6°,LET – 6°,LET – 6°,LET – 6°,,,50
209 – 2 quadros,,ENF – 10ª,,HIS – 8°,,,ENF – 10ª,ENF – 10ª,ENF – 10ª,ENF – 10ª,ENF – 10ª,,LET – 4°,FIL – 4° + LET – 4°,LET – 4°,LET – 4°,LET – 4°,,,50
210,,,,,,,,,LETRAS ESPECIAL TODOS OS CURSOS,LET – 2°,,,,LET – 2°,LET – 2°,LET – 2°,LET – 2°,,,50
301,AGRO – 3° | AGRO – 2°,,AGRO – 2°,AGRO – 2°,AGRO – 2°,,AGRO – 3°,AGRO – 2°,,AGRO – 1°,AGRO – 2°,,,,MED OPT,MED – 3°,MED – 1°,,,50
302,AGRO – 4°,AGRO OPT,AGRO – 4°,AGRO – 4°,AGRO – 4°,,AGRO – 4°,AGRO – 4°,AGRO – 4°,AGRO – 4°,AGRO OPT,,,MED – 7°,MED – 5°,MED – 7°,,,,50
303,AGRO – 6°,AGRO – 6°,AGRO – 6°,AGRO – 6°,AGRO OPT,,AGRO – 6°,AGRO – 6°,AGRO – 6°,AGRO – 6°,AGRO – 7°,,CS – 6°,CS – 6°,CS – 6°,CS – 6°,CS – 6°,,,50
304,AGRO – 8°,AGRO – 8°,AGRO – 8°,AGRO – 8°,AGRO OPT,,AGRO – 8°,AGRO – 8°,AGRO – 8°,AGRO – 8°,,,CS – 4°,CS – 4°,CS OPT,CS – 4°,CS – 4°,,,50
305,,,,,,,,,,,,,CS – 2°,CS – 2°,CS – 2°,CS – 2°,CS – 2°,,,50
BLOCO B,,,,,,,,,,,,,,,,,,,,50
201,,,,,,,,,,,,,,,,,,,,50
308,,,,,,,,,,,,,,,,,,,,50
BLOCO C,,,,,,,,,,,,,,,,,,,,50
314,,,,,,,,,,,,,,,,,,,,50
