,,MATUTINO,-,-,-,-,-,VESPERTINO,-,-,-,-,-,NOTURNO,-,-,-,-,-
,,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB
Não Alocadas (0),Salas,,,,,,,,,,,,,,,,,,
-,201-A,EAS - 8 (GCS253_1) | EAS - opt (GEN195_1),EAS - 8 (GCS254_1) | EAS - 8 (GEN111_1),EAS - 8 (GEN026_1) | EAS - 8 (GEN111_1),EAS - 8 (GEN109_1) | EAS - 8 (GEN167_1),EAS - 8 (GEN026_1) | EAS - 8 (GEN110_1),EAS - opt (GEN204_1),EAS - 10 (GEN119_1) | EAS - opt (GEN196_1),EAS - 6 (GCA322_1) | EAS - opt (GEX458_1),EAS - 6 (GCA322_1) | EAS - 6 (GEX297_1),EAS - 8 (GCS241_1) | EAS - 10 (GEN119_1),EAS - 6 (GEN103_1) | EAS - 10 (GEN118_1) | EAS - 10 (GEN119_1),-,EAS - 6 (GEN011_1),LETRAS - PIN - opt (GCS239_10),EAS - 10 (GEN119_1),EAS - 8 (GCS241_1),EAS - 10 (GEN118_1),-
-,202-A,-,-,-,-,AGRO - opt (GCA675_1),-,-,-,-,-,-,-,MAT - 4 (GEX979_1),MAT - 4 (GEX978_1),-,MAT - 4 (GEX977_1),MAT - 4 (GEX976_1),-
-,203-A,-,EAS - 6 (GEX298_1),-,EAS - 6 (GEN011_1),-,-,EAS - 6 (GEN042_1) | EAS - 6 (GEX395_2),EAS - 6 (GEN042_1),-,EAS - 6 (GEN104_1) | EAS - 6 (GEX395_2),EAS - 6 (GEN011_1) | EAS - 6 (GEN103_1),-,MAT - 6 (GEX984_1),-,MAT - 6 (GEX985_1),MAT - 6 (GEX209_1),-,-
-,204-A,-,-,-,AGRO - 2 (GCB056_4),AGRO - 2 (GEX190_1),-,-,AGRO - 2 (GCB056_4),-,-,AGRO - 2 (GEX179_1),-,MAT - 2 (GEX970_1),MAT - 2 (GCH293_7),MAT - 2 (GEX509_1),MAT - opt (GEX1000_1),MAT - 2 (GEX971_1),-
-,205-A,-,-,-,-,-,-,MAT - 8 (GEX990_1),-,-,-,-,-,MAT - 8 (GEX994_1),MAT - 8 (GEX990_1),MAT - 8 (GEX991_1),-,MAT - 8 (GEX992_1),-
-,206-A,-,-,-,-,PED - 8 (GCH1126_1),-,-,LET - 10 (GLA054_1),LET - 10 (GLA041_1),-,-,-,LET - 10 (GLA043_1),LET - 8 (GLA389_1),LET - 10 (GLA041_1),LET - 10 (GLA041_1),LET - 10 (GLA059_1),-
-,207-A,ADM - 2 (GCH293_3),ADM - 2 (GCS527_1),ADM - 2 (GEX094_1),ADM - 2 (GCS526_1),ADM - 2 (GCS238_9),-,-,LET - 9 (GLA061_1),LET - opt (GLA104_5),-,-,-,LET - 8 (GLA391_1),LET - 8 (GLA388_1),LET - 8 (GLA390_1),LET - 8 (GLA392_1),LET - 8 (GLA387_1),-
