cod,nome_ccr,ch_ccr,curso,fase,horarios,alunos,sala
GCS555_1,ESTUDOS AVANÇADOS III,30,ADM,0,"('4N1234 (15/05/2024 - 10/07/2024)',)",50,['208-B']
GCS556_1,ESTUDOS AVANÇADOS IV,30,ADM,0,"('4N1234 (15/05/2024 - 10/07/2024)',)",50,['207-B']
GCS561_1,ESTUDOS AVANÇADOS IX,30,ADM,0,"('5M12345 (09/05/2024 - 27/06/2024), 5M1 (04/07/2024 - 04/07/2024)',)",50,['207-B']
GCS560_1,ESTUDOS AVANÇADOS VIII,30,ADM,0,"('6M12345 (08/03/2024 - 26/04/2024), 6M1 (03/05/2024 - 03/05/2024)',)",50,['208-B']
GCS563_1,ESTUDOS AVANÇADOS XI,30,ADM,0,"('6M12345 (10/05/2024 - 21/06/2024), 6M1 (28/06/2024 - 28/06/2024)',)",50,['207-B']
GCS525_1,FUNDAMENTOS DO COOPERATIVISMO,60,ADM,1,"('6M12345 (04/03/2024 - 14/06/2024), 6M12 (21/06/2024 - 21/06/2024)',)",50,['209-B']
GCH290_1,INICIAÇÃO À PRÁTICA CIENTÍFICA,60,ADM,1,"('4M2345 (06/03/2024 - 10/07/2024)',)",50,['209-B']
GCS534_1,INTRODUÇÃO À ADMINISTRAÇÃO,60,ADM,1,"('3M2345 (05/03/2024 - 02/07/2024)',)",50,['209-B']
GEX212_1,MATEMÁTICA B,60,ADM,1,"('2M2345 (04/03/2024 - 01/07/2024)',)",50,['209-B']
GLA104_1,PRODUÇÃO TEXTUAL ACADÊMICA,60,ADM,1,"('5M2345 (07/03/2024 - 11/07/2024)',)",50,['209-B']
GCS526_1,FUNDAMENTOS DE ECONOMIA,60,ADM,2,"('3N1234 (05/03/2024 - 02/07/2024)',)",50,['207-B']
GCH293_1,INTRODUÇÃO À FILOSOFIA,60,ADM,2,"('6N1234 (08/03/2024 - 12/07/2024)',)",50,['207-B']
GEX094_1,MATEMÁTICA FINANCEIRA,60,ADM,2,"('4N1234 (06/03/2024 - 10/07/2024)',)",60,['306-A']
GCS238_1,"MEIO AMBIENTE, ECONOMIA E SOCIEDADE",60,ADM,2,"('5N1234 (07/03/2024 - 11/07/2024)',)",55,['207-B']
GCS527_1,TEORIAS DA ADMINISTRAÇÃO I,60,ADM,2,"('2N1234 (04/03/2024 - 01/07/2024)',)",50,['207-B']
GCH087_1,ANTROPOLOGIA PARA ADMINISTRADORES,30,ADM,3,"('2M2345 (06/05/2024 - 01/07/2024)',)",30,['210-B']
GCS530_1,CONTABILIDADE GERAL,60,ADM,3,"('6M12345 (08/03/2024 - 14/06/2024), 6M12 (21/06/2024 - 21/06/2024)',)",50,['210-B']
GEX210_1,ESTATÍSTICA BÁSICA,60,ADM,3,"('3M12345 (05/03/2024 - 04/06/2024), 3M12 (11/06/2024 - 11/06/2024)',)",50,['210-B']
GCS529_1,PLANEJAMENTO ORGANIZACIONAL,60,ADM,3,"('4M2345 (06/03/2024 - 10/07/2024)',)",50,['210-B']
GCS531_1,TEORIAS DA ADMINISTRAÇÃO II,60,ADM,3,"('5M2345 (07/03/2024 - 11/07/2024)',)",50,['210-B']
GCS066_1,ADMINISTRAÇÃO DE CUSTOS,60,ADM,4,"('5N1234 (07/03/2024 - 11/07/2024)',)",50,['209-B']
GCS068_1,ADMINISTRAÇÃO FINANCEIRA I,60,ADM,4,"('4N1234 (06/03/2024 - 10/07/2024)',)",50,['209-B']
GCS535_1,ANÁLISE ESTATÍSTICA,60,ADM,4,"('3N1234 (05/03/2024 - 02/07/2024)',)",50,['209-B']
GCS532_1,COMPORTAMENTO ORGANIZACIONAL I,60,ADM,4,"('6N1234 (08/03/2024 - 12/07/2024)',)",50,['209-B']
GCS533_1,ESTRUTURAS E SISTEMAS ORGANIZACIONAIS,60,ADM,4,"('2N1234 (04/03/2024 - 01/07/2024)',)",50,['209-B']
GCS539_1,ADMINISTRAÇÃO DA PRODUÇÃO I,60,ADM,5,"('6M2345 (08/03/2024 - 12/07/2024)',)",50,['309-B']
GCS540_1,ADMINISTRAÇÃO DE MARKETING,60,ADM,5,"('5M2345 (07/03/2024 - 11/07/2024)',)",50,['309-B']
GCS538_1,ADMINISTRAÇÃO DE MATERIAIS,60,ADM,5,"('4M2345 (06/03/2024 - 10/07/2024)',)",50,['207-B']
GCS536_1,ADMINISTRAÇÃO FINANCEIRA II,60,ADM,5,"('2M2345 (04/03/2024 - 01/07/2024)',)",50,['207-B']
GCS537_1,COMPORTAMENTO ORGANIZACIONAL II,60,ADM,5,"('3M2345 (05/03/2024 - 02/07/2024)',)",50,['207-B']
GCS072_1,ADMINISTRAÇÃO DA PRODUÇÃO II,60,ADM,6,"('3N1234 (05/03/2024 - 02/07/2024)',)",50,['208-B']
GCS542_1,LOGÍSTICA EMPRESARIAL,60,ADM,6,"('2N1234 (04/03/2024 - 01/07/2024)',)",50,['208-B']
GCS541_1,PESQUISA DE MARKETING,60,ADM,6,"('6N1234 (08/03/2024 - 12/07/2024)',)",50,['208-B']
GCS081_1,PLANEJAMENTO FINANCEIRO E ORÇAMENTÁRIO,60,ADM,6,"('5N1234 (07/03/2024 - 11/07/2024)',)",50,['208-B']
GCS239_1,DIREITOS E CIDADANIA,60,ADM,7,"('2M2345 (04/03/2024 - 01/07/2024)',)",50,['206-B']
GCS080_1,ESTRATÉGIA MERCADOLÓGICA,60,ADM,7,"('4M2345 (06/03/2024 - 10/07/2024)',)",50,['206-B']
GCS077_1,GESTÃO DE COOPERATIVAS,60,ADM,7,"('3M12345 (05/03/2024 - 04/06/2024), 3M12 (11/06/2024 - 11/06/2024)',)",50,['206-B']
GCS545_1,GESTÃO DE PESSOAS II,60,ADM,7,"('6M2345 (08/03/2024 - 12/07/2024)',)",50,['206-B']
GCS544_1,MÉTODOS QUANTITATIVOS DE TOMADA DE DECISÃO,60,ADM,7,"('5M12345 (07/03/2024 - 13/06/2024), 5M12 (20/06/2024 - 20/06/2024)',)",50,['206-B']
GCS235_1,ADMINISTRAÇÃO ESTRATÉGICA,60,ADM,8,"('2N1234 (04/03/2024 - 04/07/2024)',)",40,['210-B']
GCS547_1,DIREITO PARA ADMINISTRADORES,60,ADM,8,"('3N1234 (05/03/2024 - 02/07/2024)',)",40,['210-B']
GCS546_1,EMPREENDEDORISMO E CRIAÇÃO DE NEGÓCIOS,60,ADM,8,"('5N1234 (07/03/2024 - 11/07/2024)',)",40,['210-B']
GCS082_1,GESTÃO DE PEQUENOS EMPREENDIMENTOS,60,ADM,8,"('6N1234 (08/03/2024 - 12/07/2024)',)",40,['210-B']
GCS548_1,TRABALHO DE CONCLUSÃO DE CURSO I,30,ADM,8,"('4N1234 (06/03/2024 - 08/05/2024)',)",40,['210-B']
GCS549_1,ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO,30,ADM,9,"('5M2345 (07/03/2024 - 02/05/2024)',)",40,['208-B']
GCS550_1,ADMINISTRAÇÃO E ANÁLISE DE PROJETOS,60,ADM,9,"('2M12345 (04/03/2024 - 03/06/2024), 2M12 (10/06/2024 - 10/06/2024)',)",45,['208-B']
GCS573_1,GESTÃO DA INOVAÇÃO,60,ADM,9,"('4M2345 (06/03/2024 - 10/07/2024)',)",40,['208-B']
GCS551_1,JOGOS EMPRESARIAIS,60,ADM,9,"('3M12345 (05/03/2024 - 04/06/2024), 3M12 (11/06/2024 - 11/06/2024)',)",40,['208-B']
GCA646_1,ADVERSIDADES CLIMÁTICAS E DESENVOLVIMENTO VEGETAL,45,AGRO,0,"('5T123 (04/03/2024 - 13/07/2024)',)",50,['208-A']
GCA657_1,AVALIAÇÃO DA QUALIDADE FÍSICA DO SOLO,60,AGRO,0,"('6M2345 (04/03/2024 - 13/07/2024)',)",50,['207-A']
GCA653_1,CULTURAS ESPECIAIS,45,AGRO,0,"('6T123 (04/03/2024 - 13/07/2024)',)",50,['209-A']
GCA647_1,PLANTAS E COMPOSTOS BIOATIVOS,45,AGRO,0,"('6T123 (04/03/2024 - 13/07/2024)',)",50,['210-A']
GCA316_1,PLANTAS MEDICINAIS,45,AGRO,0,"('5T123 (04/03/2024 - 13/07/2024)',)",50,['207-A']
GEN190_1,RECURSOS NATURAIS E ENERGIAS RENOVÁVEIS,45,AGRO,0,"('6M234 (04/03/2024 - 13/07/2024)',)",50,['208-A']
GCA428_1,TÓPICOS EM AGRONOMIA III,60,AGRO,0,"('5T1234 (04/03/2024 - 13/07/2024)',)",50,['210-A']
GCA589_1,TÓPICOS EM AGRONOMIA IX,60,AGRO,0,"('5T1234 (04/03/2024 - 13/07/2024)',)",50,['209-A']
GCB0603_1,GENÉTICA AGROPECUÁRIA,45,AGRO,1,"('3M123 (04/03/2024 - 06/07/2024)',)",50,['105-C']
GCA0679_1,INTRODUÇÃO À AGRONOMIA,30,AGRO,1,"('5M12 (04/03/2024 - 13/07/2024)',)",50,['105-C']
GCB0601_1,INTRODUÇÃO À ECOLOGIA,45,AGRO,1,"('6M12 (04/03/2024 - 13/07/2024)',)",50,['105-C']
GEX1053_1,MATEMÁTICA C,60,AGRO,1,"('5M345 (04/03/2024 - 13/07/2024)',)",50,['105-C']
GCB0602_1,MORFOLOGIA VEGETAL,45,AGRO,1,"('6M34 (04/03/2024 - 13/07/2024)6M35 (04/03/2024 – 13/07/2024)',)",75,['105-C']
GLA0689_1,PRODUÇÃO TEXTUAL ACADÊMICA,60,AGRO,1,"('2M2345 (04/03/2024 - 06/07/2024)',)",35,['105-C']
GEX1104_1,QUÍMICA GERAL E INORGÂNICA,75,AGRO,1,"('3M45 4M23 (04/03/2024 - 06/07/2024), 3M4 4M2 (08/07/2024 - 13/07/2024)34M45 (04/03/2024 - 06/07/2024), 34M4 (08/07/2024 - 13/07/2024)',)",75,['105-C']
GCB0606_1,BIOQUÍMICA,45,AGRO,2,"('5M123 (04/03/2024 - 13/07/2024)',)",50,['208-A']
GEX087_1,AGROCLIMATOLOGIA,60,AGRO,3,"('6M2345 (04/03/2024 - 13/07/2024)',)",25,['304-A']
GCA0684_1,"AVALIAÇÃO DE IMPACTOS, GESTÃO E LICENCIAMENTO AMBIENTAL",30,AGRO,3,"('4M12 (04/03/2024 - 13/07/2024)',)",50,['304-A']
GCA0686_1,DESENVOLVIMENTO DE PRÁTICAS DE EXTENSÃO I,75,AGRO,3,"('6M2345 (04/03/2024 - 13/07/2024)',)",25,['305-A']
GCS0687_1,DIREITOS E CIDADANIA,60,AGRO,3,"('2M345 (04/03/2024 - 06/07/2024)',)",25,['304-A']
GCB057_1,ECOLOGIA AGRÍCOLA,45,AGRO,3,"('3M1234 (05/03/2024 - 04/06/2024)',)",50,['305-A']
GEX1047_1,ESTATÍSTICA BÁSICA,60,AGRO,3,"('4T123 (04/03/2024 - 13/07/2024)',)",50,['304-A']
GCA0685_1,EXTENSÃO RURAL,45,AGRO,3,"('2M12 (04/03/2024 - 06/07/2024)',)",50,['304-A']
