SALAS,MATUTINO,,,,,,VESPERTINO,,,,,,NOTURNO,,,,,,SÁBADO,CADEIRAS
,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,SEG,TER,QUA,QUI,SEX,,,
BLOCO A,,,,,,,,,,,,,,,,,,,,
201 – 2 quadros,EAS 2º + PED 2°,,,,,,EAS – 2ª,EAS – 2ª,EAS – 2ª,EAS – 2ª,EAS – 2ª,,,CS – 8°,CS OPT,CS – 8°,CS – 8°+ MAT – 6° + PED – 7°,,CS – 8°,55
202 – 2 quadros,EAS – 4ª,EAS – 4ª,EAS – 4ª,EAS – 4ª,EAS – 4ª,,EAS – 4ª,EAS – 4ª,EAS – 9°,EAS – 9° | EAS – OPT,,,MAT – 8°,ADM OPT,MAT – 8°,MAT OPT,,,MAT OPT,55
203 – 2 quadros,,EAS – 6ª,,EAS – 6ª,,,EAS – 6ª,EAS – 6ª,EAS – 6ª,EAS – 6ª,EAS – 6ª,,MAT – 6°,MAT – 6°,MAT – 6°,PED – 7°,,,MAT – 6°,55
204 – 2 quadros,EAS – OPT | EAS – 8ª,EAS – 8ª,EAS – 8ª,EAS – 8ª,EAS – 8ª,,EAS – OPT,CS – 8°,EAS – OPT,EAS – 8ª,,,,MAT – 4°,MAT – 4° + FIL – 4° + CS – 4°,MAT – 4°,MAT – 4°,,CS – 9°,55
205 – 2 quadros,,,EAS – 10ª,EAS – 10ª,EAS – 10ª,,EAS – 10ª,EAS – OPT,LETRAS PROIMIGRANTE,EAS – 10ª,EAS – 10ª,,MAT – 2°,MAT – 2°,MAT – 2°,MAT – 2° + FIL – 4°,MAT – 2°,,MAT – 2°,55
206 – 2 quadros,,,,,,,LET – 10°,LET – 10°,LET – 10°,,LET – 10°,,LET – 10°,LET – 10°,LET – 10°,LET – 10°,LET – 10°,,,55
207 – 2 quadros,,,,,,,,,,,,,LET – 8°,LET – 8°,LET – 8°,LET – 8°,LET – 8°,,,55
208 – 2 quadros,,,,,,,LET – 6°,,,,,,LET – 6°,LET – 6°,LET – 6°,LET – 6°,LET – 6°,,,55
209 – 2 quadros,,ENF – 10ª,,HIS – 8°,,,ENF – 10ª,ENF – 10ª,ENF – 10ª,ENF – 10ª,ENF – 10ª,,LET – 4°,FIL – 4° + LET – 4°,LET – 4°,LET – 4°,LET – 4°,,,55
210,,,,,,,,,LETRAS ESPECIAL TODOS OS CURSOS,LET – 2°,,,,LET – 2°,LET – 2°,LET – 2°,LET – 2°,,,55
301,AGRO – 3° | AGRO – 2°,,AGRO – 2°,AGRO – 2°,d,,AGRO – 3°,AGRO – 2°,,AGRO – 1°,AGRO – 2°,,,,MED OPT,MED – 3°,MED – 1°,,,55
302,AGRO – 4°,AGRO OPT,AGRO – 4°,AGRO – 4°,,,AGRO – 4°,AGRO – 4°,AGRO – 4°,AGRO – 4°,AGRO OPT,,,MED – 7°,MED – 5°,MED – 7°,,,,55
303,AGRO – 6°,AGRO – 6°,AGRO – 6°,AGRO – 6°,,,AGRO – 6°,AGRO – 6°,AGRO – 6°,AGRO – 6°,AGRO – 7°,,CS – 6°,CS – 6°,CS – 6°,CS – 6°,CS – 6°,,,55
304,AGRO – 8°,AGRO – 8°,AGRO – 8°,AGRO – 8°,,,AGRO – 8°,AGRO – 8°,AGRO – 8°,AGRO – 8°,,,CS – 4°,CS – 4°,CS OPT,CS – 4°,CS – 4°,,,55
305,,,,,,,,,,,,,CS – 2°,CS – 2°,CS – 2°,CS – 2°,CS – 2°,,,55
306 (100)  – 2 quadros,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,ENF – 8ª,,HIS – 8°,HIS – 8°,LETRAS PIN,HIS – 8°,HIS – 8°,,,100
307,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,,,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,ENF – 6ª,,HIS – 6°,HIS – 7°,HIS OPT ,HIS – 6°,,,HIS – 6°,55
308,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,,,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,ENF – 4ª,,HIS – 4° + CS – 8°,HIS – 4°,HIS OPT ,HIS – 4°,HIS – 4°,,HIS – 4°,55
309,HIS – 6°,ENF – 2ª,ENF – 2ª,ENF – 2ª,,,ENF – 2ª,ENF – 2ª,ENF – 2ª,ENF – 2ª,,,LETRAS PIN,LETRAS PIN,LETRAS PIN,LETRAS PIN,,,,55
BLOCO B,,,,,,,,,,,,,,,,,,,,
201,,,PED OPT,,,,PED OPT,MAT – 6°,,MAT – 6°,,,PED – 9°,PED – 9°,PED – 9°,PED OPT,PED – 9°,,,55
202,PED – 10°,,,PED – 10°,PED – 10°,,,PED – 7°,PED – 7°,CS – 8°,,,PED – 7°,PED – 7°,PED – 7°,PED – 7°,PED OPT,,,55
203,PED – 8°,PED – 8°,,PED – 8°,PED – 8°,,LET – OPT,LET – OPT,LET – OPT,LET – OPT,LET – OPT,,PED – 5°,PED – 5° + MAT – 6°,PED – 5°,PED – 5°,PED – 5°,,,55
204,PED – 6°,PED – 6°,PED – 6°,PED – 6°,PED – 6°,,,,,LET – ESPECIAL,,,PED – 3°,PED – 3°,PED – 3°,PED – 3°,PED – 3°,,,55
205 – 2 quadros,PED – 4°,PED – 4°,PED – 4°,PED – 4°,PED – 4°,,,,,,,,PED – 1°,PED – 1°,PED – 1°,PED – 1°,PED – 1°,,,55
206,,PED – 2°,PED – 2°,PED – 2°,PED – 2°,,AGRO – PÓS COLHEITA,,,,,,, ADM OPT | ADM – 9°,ADM – 9°,ADM OPT,ADM – 9°,,,55
207 – 2 quadros,ADM – 8°,ADM – 8°,ADM – 8° | ADM OPT,ADM – 8°,ADM – 8°,,,,,,,,ADM – 7°,ADM – 7°,ADM – 7°,ADM – 7°,ADM – 7°,,,55
208,ADM – 6°,ADM – 6°,ADM – 6°,,ADM – 6°,,,,,,,,ADM – 5°,ADM – 5°,ADM – 5°,ADM – 5°,ADM – 5°,,,55
209 – 2 quadros,ADM – 4°,ADM – 4°,ADM – 4°,ADM – 4°,ADM – 4°,,,,,,,,ADM – 3°,ADM – 3°,ADM – 3°,ADM – 3°,ADM – 3°,,,55
210,ADM – 2°,ADM – 2°,ADM – 2°,ADM – 2°,ADM – 2°,,CC – 8°,,,,,,ADM – 1°,ADM – 1°,ADM – 1°,ADM – 1°,ADM – 1°,,ADM – 1°,55
301 – 2 quadros,MED – 1°,MED – 1°,MED – 1°,MED – 1°,MED – 1°,,MED – 1°,MED – 1°,MED – 1°,MED – 1°,MED – 1°,,GEO - 2°,CC – 1°,GEO - 2°,GEO - 2°,,,GEO - 2°,55
302 – 2 quadros,,,,,,,,,,,,,CC – 3°,GEO – 4°,GEO – 4° + HIS – 4°,GEO – 4°,GEO – 4°,,GEO – 4°,55
303 – 2 quadros,MED – 5°,MED – 5°,MED – 5°,MED – 5°,MED – 5°,,MED – 5°,MED – 5°,MED – 5°,MED – 5°,MED – 5°,,CC OPT,AGRO – 7°,CC – 4°,GEO – 6°,GEO – 6° + HIS – 6°,,GEO – 6°,55
304 – 2 quadros,MED – 7°,MED – 7°,,MED – 7°,MED – 7°,,MED – 7°,MED – 7°,MED – 7°,MED – 7°,MED – 7°,,CC – 2°,GEO – 8°,CC – 2°,GEO – 8°,,,GEO – 8° | GEO – 9°,55
